date,city,temp_side,station,outcome_f,source,updated_ts_est
2026-03-05,Denver,high,KDEN,69.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Denver,low,KDEN,36.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Houston,high,KHOU,82.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Houston,low,KHOU,70.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Las Vegas,high,KLAS,66.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Las Vegas,low,KLAS,55.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Los Angeles,high,KLAX,76.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Los Angeles,low,KLAX,51.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Miami,high,KMIA,84.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Miami,low,KMIA,74.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Minneapolis,high,KMSP,54.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Minneapolis,low,KMSP,40.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,New Orleans,high,KMSY,82.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,New Orleans,low,KMSY,68.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,New York City,high,KNYC,46.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,New York City,low,KNYC,37.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Oklahoma City,high,KOKC,75.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Oklahoma City,low,KOKC,50.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Philadelphia,high,KPHL,49.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Philadelphia,low,KPHL,42.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Phoenix,high,KPHX,81.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Phoenix,low,KPHX,58.0,cli_final,2026-03-06 08:31:50 AM EST
