date,sig,city,temp_type,ticker,bet,line,first_seen_est,last_seen_est,end_seen_est,duration_seconds,scan_count,max_edge_pct,last_edge_pct,close_reason
2026-03-07,2026-03-07|KXHIGHTATL-26MAR07-B81.5|BUY NO,Atlanta,high,KXHIGHTATL-26MAR07-B81.5,BUY NO,81F to 82F,2026-03-07 12:44:00 PM EST,2026-03-07 12:53:00 PM EST,2026-03-07 12:56:00 PM EST,540,4,37.53,36.53,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B45.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,2026-03-07 12:50:00 PM EST,2026-03-07 12:53:00 PM EST,2026-03-07 12:56:00 PM EST,180,2,14.92,14.92,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-T54|BUY YES,Philadelphia,high,KXHIGHPHIL-26MAR07-T54,BUY YES,53F or below,2026-03-07 12:56:00 PM EST,2026-03-07 12:56:00 PM EST,2026-03-07 12:59:00 PM EST,0,1,54.11,54.11,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B47.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,2026-03-07 12:56:00 PM EST,2026-03-07 12:56:00 PM EST,2026-03-07 12:59:00 PM EST,0,1,15.06,15.06,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTLV-26MAR07-B69.5|BUY NO,Las Vegas,high,KXHIGHTLV-26MAR07-B69.5,BUY NO,69F to 70F,2026-03-07 12:59:00 PM EST,2026-03-07 12:59:00 PM EST,2026-03-07 01:04:00 PM EST,0,1,20.54,20.54,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 12:56:00 PM EST,2026-03-07 01:04:00 PM EST,2026-03-07 01:08:00 PM EST,480,3,23.6,23.6,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B45.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,2026-03-07 12:59:00 PM EST,2026-03-07 01:04:00 PM EST,2026-03-07 01:08:00 PM EST,300,2,14.92,13.08,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTATL-26MAR07-B81.5|BUY NO,Atlanta,high,KXHIGHTATL-26MAR07-B81.5,BUY NO,81F to 82F,2026-03-07 01:04:00 PM EST,2026-03-07 01:04:00 PM EST,2026-03-07 01:08:00 PM EST,0,1,12.28,12.28,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-T78|BUY YES,Los Angeles,high,KXHIGHLAX-26MAR07-T78,BUY YES,77F or below,2026-03-07 12:59:00 PM EST,2026-03-07 01:08:00 PM EST,2026-03-07 01:11:00 PM EST,540,3,20.01,16.81,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTAUS-26MAR07-T55|BUY NO,Austin,low,KXLOWTAUS-26MAR07-T55,BUY NO,54F or below,2026-03-07 01:08:00 PM EST,2026-03-07 01:08:00 PM EST,2026-03-07 01:11:00 PM EST,0,1,16.58,16.58,edge_dropped_or_filtered
