ts_est,date,city,temp_type,ticker,bet,line,edge_pct,units,stake_dollars,side,limit_price_cents,count,time_in_force,order_action,status,error,fee_dollars,order_id,client_order_id,execution_mode,attempt_count,passive_attempted,aggressive_attempted,aggressive_used,initial_limit_price_cents,final_order_status_raw
2026-03-09 03:50:00 AM EST,2026-03-09,Chicago,low,KXLOWTCHI-26MAR09-B46.5,BUY NO,46F to 47F,47.0,2.0,2.0,no,34,7,fill_or_kill,buy,submitted,,0.11,0ef33bbf-f7f8-4a43-bb99-0fa75c8981ab,bot-2026-03-09-71a663ce414b,aggressive,5,True,True,True,28,executed
2026-03-09 04:00:00 AM EST,2026-03-09,Houston,high,KXHIGHTHOU-26MAR09-B82.5,BUY NO,82F to 83F,45.0,2.0,2.0,no,55,3,fill_or_kill,buy,submitted,,0.06,0b5cdf8b-f606-4db4-ad22-d4b8a66e4663,bot-2026-03-09-b06af119cc6d,aggressive,4,True,True,True,53,executed
2026-03-09 04:33:00 AM EST,2026-03-09,Seattle,high,KXHIGHTSEA-26MAR09-B46.5,BUY NO,46F to 47F,42.0,2.0,2.0,no,58,3,fill_or_kill,buy,submitted,,0.06,f8ac63d4-473f-48bb-96df-e8da2bf706b8,bot-2026-03-09-594dcf978dda,aggressive,4,True,True,True,56,executed
2026-03-09 04:42:00 AM EST,2026-03-09,Philadelphia,low,KXLOWTPHIL-26MAR09-B39.5,BUY NO,39F to 40F,45.0,2.0,2.0,no,47,5,fill_or_kill,buy,submitted,,0.09,cf97697a-f5fa-40fd-8022-ba55c5bb363f,bot-2026-03-09-605e395ad0d1,aggressive,5,True,True,True,38,executed
2026-03-09 05:17:00 AM EST,2026-03-09,New York City,low,KXLOWTNYC-26MAR09-T48,BUY NO,49F or above,47.23,2.0,2.0,no,28,8,fill_or_kill,buy,submitted,,0.12,22e70223-5b4e-4860-aa7f-2f1f2effcb0e,bot-2026-03-09-44d92477c32b,aggressive,5,True,True,True,25,executed
2026-03-09 05:27:00 AM EST,2026-03-09,New York City,high,KXHIGHNY-26MAR09-T70,BUY NO,71F or above,42.0,2.0,2.0,no,58,3,fill_or_kill,buy,submitted,,0.06,021bef1e-099f-4737-b589-17f85f4d6c0e,bot-2026-03-09-723540ba7773,aggressive,4,True,True,True,56,executed
2026-03-09 06:40:00 AM EST,2026-03-09,Boston,high,KXHIGHTBOS-26MAR09-T62,BUY YES,61F or below,39.19,2.0,2.0,yes,26,9,fill_or_kill,buy,submitted,,0.12,d15078a1-163e-46ff-a774-3f005574fb7c,bot-2026-03-09-00166881e3e9,aggressive,5,True,True,True,22,executed
2026-03-09 09:04:00 AM EST,2026-03-09,Denver,high,KXHIGHDEN-26MAR09-B73.5,BUY NO,73F to 74F,36.0,1.0,1.0,no,64,1,fill_or_kill,buy,submitted,,0.02,0ee942d4-a742-445e-8aaf-c820095682e7,bot-2026-03-09-b8772d8d92c1,aggressive,5,True,True,True,59,executed
2026-03-09 09:18:00 AM EST,2026-03-09,Los Angeles,high,KXHIGHLAX-26MAR09-B71.5,BUY NO,71F to 72F,40.0,1.0,1.0,no,57,1,fill_or_kill,buy,submitted,,0.02,93c4b3b3-4025-4a11-9e00-efffecb62669,bot-2026-03-09-345cc71de4ba,aggressive,4,True,True,True,58,executed
2026-03-09 11:11:00 AM EST,2026-03-09,New Orleans,high,KXHIGHTNOLA-26MAR09-B84.5,BUY NO,84F to 85F,33.0,0.75,0.75,no,67,1,fill_or_kill,buy,submitted,,0.02,75f5fc37-d59f-4f7c-b2d8-17d72cfeeb88,bot-2026-03-09-63825f90bfbd,aggressive,4,True,True,True,65,executed
2026-03-09 11:17:00 AM EST,2026-03-09,Atlanta,high,KXHIGHTATL-26MAR09-B79.5,BUY NO,79F to 80F,30.0,0.75,0.75,no,70,1,fill_or_kill,buy,submitted,,0.02,066076d5-7fc2-42c9-8da7-ef81006614c0,bot-2026-03-09-0678a10d1df8,aggressive,5,True,True,True,67,executed
2026-03-09 11:29:00 AM EST,2026-03-09,Boston,high,KXHIGHTBOS-26MAR09-B66.5,BUY NO,66F to 67F,32.0,0.75,0.75,no,68,1,fill_or_kill,buy,submitted,,0.02,30dd0251-44ab-4243-ac62-079a0a809821,bot-2026-03-09-c32ea2b89a3e,aggressive,5,True,True,True,64,executed
